cluster,degree,betweenness,large_neighbor_count,train_n
cube1_cluster0,3,0.0,2,11
cube1_cluster1,3,0.0,2,12
cube2_cluster0,7,0.003246753246753247,2,105
cube3_cluster0,3,0.0,3,7
cube3_cluster1,3,0.0,3,7
cube8_cluster0,6,0.025830887255434167,3,47
cube8_cluster1,1,0.0,1,5
cube9_cluster0,11,0.10057449149984671,4,353
cube10_cluster0,6,0.027187694837792743,4,173
cube15_cluster0,5,0.047546784737347705,3,23
cube15_cluster1,2,0.0,1,4
cube16_cluster0,8,0.09823687375034805,5,307
cube16_cluster1,2,0.0,1,3
cube17_cluster0,6,0.057766125062087836,5,230
cube17_cluster1,0,0.0,0,4
cube18_cluster0,2,0.0,2,19
cube23_cluster0,5,0.04957938881579618,3,18
cube24_cluster0,10,0.16990562957678776,4,201
cube25_cluster0,6,0.07757125866369319,4,134
cube25_cluster1,1,0.0,0,4
cube26_cluster0,1,0.0,0,4
cube31_cluster0,5,0.05214859303869321,3,31
cube32_cluster0,8,0.15612188951323094,4,191
cube33_cluster0,5,0.08798492870348724,5,94
cube33_cluster1,2,0.0,1,4
cube34_cluster0,2,0.0,1,4
cube41_cluster0,5,0.047078302903140155,3,33
cube42_cluster0,8,0.12375969394538958,4,221
cube43_cluster0,9,0.1657668268991512,4,136
cube44_cluster0,3,0.0,2,4
cube46_cluster0,0,0.0,0,8
cube46_cluster1,0,0.0,0,4
cube47_cluster0,2,0.0,0,8
cube47_cluster1,0,0.0,0,8
cube47_cluster2,0,0.0,0,4
cube48_cluster0,2,0.0,0,4
cube50_cluster0,5,0.03802912726426818,4,37
cube51_cluster0,8,0.1124284077109352,6,242
cube52_cluster0,8,0.09785520624403336,5,159
cube53_cluster0,5,0.026770746721394078,3,8
cube56_cluster0,2,0.0,0,6
cube59_cluster0,5,0.01262168359006106,4,234
cube59_cluster1,3,0.0,3,5
cube59_cluster2,3,0.0,2,6
cube60_cluster0,11,0.11853253040716974,7,1088
cube61_cluster0,10,0.09995807203112199,5,650
cube61_cluster1,0,0.0,0,4
cube61_cluster2,3,0.0,1,4
cube62_cluster0,3,0.0,2,6
cube62_cluster1,5,0.020269903210979316,3,11
cube62_cluster2,3,0.0,1,5
cube62_cluster3,3,0.0,2,8
cube66_cluster0,4,0.00021645021645021645,3,197
cube66_cluster1,3,0.0,2,5
cube67_cluster0,8,0.015423623995052566,5,835
cube68_cluster0,9,0.04747566516882481,3,637
cube69_cluster0,7,0.01751505839332733,2,80
