,cube10_cluster0,cube15_cluster0,cube15_cluster1,cube16_cluster0,cube16_cluster1,cube17_cluster0,cube17_cluster1,cube18_cluster0,cube1_cluster0,cube1_cluster1,cube23_cluster0,cube24_cluster0,cube25_cluster0,cube25_cluster1,cube26_cluster0,cube2_cluster0,cube31_cluster0,cube32_cluster0,cube33_cluster0,cube33_cluster1,cube34_cluster0,cube3_cluster0,cube3_cluster1,cube41_cluster0,cube42_cluster0,cube43_cluster0,cube44_cluster0,cube46_cluster0,cube46_cluster1,cube47_cluster0,cube47_cluster1,cube47_cluster2,cube48_cluster0,cube50_cluster0,cube51_cluster0,cube52_cluster0,cube53_cluster0,cube56_cluster0,cube59_cluster0,cube59_cluster1,cube59_cluster2,cube60_cluster0,cube61_cluster0,cube61_cluster1,cube61_cluster2,cube62_cluster0,cube62_cluster1,cube62_cluster2,cube62_cluster3,cube66_cluster0,cube66_cluster1,cube67_cluster0,cube68_cluster0,cube69_cluster0,cube8_cluster0,cube8_cluster1,cube9_cluster0
cube10_cluster0,0.0,2.164630875104252,2.5820177751683695,0.941458764840495,2.4566321291471214,0.8735680402919442,1.8881668550890314,2.0762827856396373,2.6557289627165117,2.0952701988908227,2.3039230740213994,1.5542447673591093,1.304157666195013,3.1315422307550587,3.1315422307550587,1.6329587531980259,2.803466917973232,2.1717639141030047,1.9330307197240115,2.696548165000834,2.696548165000834,1.29124440317459,1.2771725053529768,3.226210707274334,2.7248756454140457,2.5898414611402716,3.218777126115681,9.105973023760308,8.126752960156658,7.081498049447291,7.750381092423056,8.225450698804599,6.874387269481782,3.7997971011981595,3.3554770953243844,3.2421788454975866,3.5634911488711074,7.279114820706286,4.524778054888972,5.004521404631837,4.772932901810011,4.24483556406679,4.175611494136648,4.560304012679154,4.798992442664075,4.540376973935353,4.488564861462779,4.828001881194679,4.597632158053282,4.770515122830618,4.782268240673183,4.416913800688444,4.366526350111598,4.642849858567416,2.015888608922615,2.4427937077981507,0.8589677903047162
cube15_cluster0,2.164630875104252,0.0,1.1372072524210772,1.5268078295469831,1.1258857912782865,2.4521739722268445,3.5393848210328382,3.941903765310973,1.8083990444050175,1.712153233813231,0.6979177802075668,1.41809416677575,2.2845281693407338,4.654925056434469,4.654925056434469,1.735727523386693,1.5172528746284473,1.7562087095642283,2.326392733258444,3.7831488914092386,3.7831488914092386,2.218510727086916,2.91200719396925,2.1024141058130628,2.367892320734904,2.8550165337732314,3.992725511949426,8.17325087302624,6.879388948670504,5.90879904446851,6.742189846907711,7.217383651588087,5.632587328630941,2.7099003871813045,2.9405865241741296,3.3875228762413045,4.164985856310692,6.0086978708501455,3.4050629204950407,4.153414065550308,3.967667571066751,3.593926749562326,3.948577235115689,5.171834313341782,5.303579620219305,4.807723851500298,4.812965007918342,5.343407679055572,5.055540698733458,3.818732668661617,4.000652549131119,3.839836455250787,4.230880486274997,5.021844061680765,1.0461721011806033,1.7050497624785588,1.4384732272479288
cube15_cluster1,2.5820177751683695,1.1372072524210772,0.0,1.9669913429782615,0.21709850880213005,2.79826051616748,4.080198540912469,4.319554003031905,1.888337676797316,2.251912312402411,1.0957463015387057,1.7549307689642304,2.6188977145733734,4.615079716975379,4.615079716975379,2.1355536321083535,1.6357627113393216,1.933277290768341,2.586705843517852,4.185951366145659,4.185951366145659,2.6418647431030786,3.1431554690993955,2.1017451891594714,2.4705407177885697,3.00142269968889,4.01087978262395,8.348568754957688,6.946692503284327,6.041074309933583,6.970155866615732,7.337157305109502,5.717562631374682,2.6308480269815733,2.955292823185188,3.4564893779853323,4.329662373329782,6.114650416877067,3.401223123572035,4.295465947993317,4.176038747219102,3.609009957006972,3.993401677260686,5.570470660904985,5.278202694029611,4.969591728178512,5.019583718320223,5.311199309120865,5.2982368381579725,3.946590188131652,4.176525471644638,3.9358542617494416,4.320736638896137,5.133128921532872,1.5958107876839802,2.703935926407833,1.9612703329441659
cube16_cluster0,0.941458764840495,1.5268078295469831,1.9669913429782615,0.0,1.8431139625842896,0.9433804694828954,2.236872374462598,2.4633083816374994,2.594852544632951,2.126267694844513,1.537059064200589,0.7783827124494339,1.0067951159540127,3.292085121781041,3.292085121781041,1.8378129126787859,2.002353665735541,1.4644022352841684,1.4759622150011005,2.7168984748330867,2.7168984748330867,1.750027387414139,1.806602613736963,2.432737909325588,2.0448877426441108,2.1184168005218185,3.0950472246497114,8.476438172163022,7.412678807624511,6.334021063503834,7.094143520514712,7.579741649477422,6.097009801260117,2.993118080258686,2.6703705110399887,2.7430605350831456,3.335174188415015,6.505135178131445,3.744153889151008,4.433218513534881,4.058267207901343,3.5660292397097795,3.627262867998262,4.320411823251308,4.66083192113784,4.302742506790185,4.145172145753435,4.6973230528105105,4.408643632641435,4.079915923633527,4.068801472077875,3.7956190063833337,3.8831414641599338,4.3752038263860475,1.7613307353925272,2.308359240010926,0.8805442397843019
cube16_cluster1,2.4566321291471214,1.1258857912782865,0.21709850880213005,1.8431139625842896,0.0,2.655793822206756,3.9426984145489508,4.170625512330966,1.918162035939853,2.24555613185166,1.0519525332301884,1.618160464724437,2.4649366138569926,4.482043134758263,4.482043134758263,2.087896588936219,1.5920671198814211,1.8042655905198468,2.4324856120576257,4.044544866175802,4.044544866175802,2.5395149602331184,3.011401206140375,2.040243323383141,2.344375210606162,2.8491783112151037,3.8682104217658955,8.399702442762319,7.020056095322462,6.0800256861307345,7.016759607639585,7.411820979457664,5.755705539913279,2.5745702479662866,2.834518664441917,3.3077868706222047,4.189950785635503,6.156344875560713,3.3414158364544284,4.276169512381067,4.062809953744916,3.4999967494541546,3.855863159781188,5.415215202589143,5.106988859517766,4.825460498100189,4.882193227848932,5.1367973979676504,5.12403544927469,3.8884383885311493,4.06117119555869,3.8239547779182477,4.176938234297606,4.970800686472741,1.616271590749539,2.715071277251099,1.870933316886286
cube17_cluster0,0.8735680402919442,2.4521739722268445,2.79826051616748,0.9433804694828954,2.655793822206756,0.0,1.601713479303841,1.5434855863792267,3.3383848896666817,2.7899839652653866,2.393138571282721,1.3824534973875435,0.7150124187748881,2.549300431233038,2.549300431233038,2.4150788936650893,2.710546773956447,1.918624984077847,1.4740528799026609,2.1671424130935937,2.1671424130935937,2.0315602815371085,1.6144693940765762,3.022582425965752,2.3303980554816537,2.0505900971832784,2.6875859401629834,8.906941145815827,7.975750655710753,6.845538918950278,7.544640656162095,8.033639089817438,6.628117481601094,3.4977758187887233,2.8798684630778397,2.6502252442317404,2.9712983346695205,7.0433608242302315,4.179915505108085,4.780866144436364,4.352456722109765,3.7885920465430027,3.6409806402338654,3.9008897888253027,4.359305625953945,4.080331158511046,3.857420950716588,4.393254716932735,4.105772631518062,4.44229909380458,4.350867293548255,3.9798609986852145,3.848468486796607,4.077818605752004,2.5871009651977688,2.973319669973517,1.5039709701831534
cube17_cluster1,1.8881668550890314,3.5393848210328382,4.080198540912469,2.236872374462598,3.9426984145489508,1.601713479303841,0.0,1.2164462640572504,4.307636941361227,3.373734446428072,3.590733774272472,2.6814045486194478,1.9125051502854988,2.5518655378402832,2.5518655378402832,3.2277873137349737,3.9286750327008417,3.164065786438486,2.5756317633637673,2.4522101330486916,2.4522101330486916,2.852443619638861,2.308908436552392,4.200421098103147,3.4476415333362667,3.018594249770356,3.3889886310801636,8.944488885196535,8.29541409141669,7.157320425298311,7.6311905800432775,8.194142804537522,7.02706237310984,4.649159874379044,3.9249139019538375,3.5068485269830663,3.614220875948165,7.41446371785423,5.028433938512581,5.247842075361645,4.995073859660443,4.619671424344852,4.362059650210007,3.7801682473791005,4.408053311666384,4.392488522179567,4.376547604350674,4.43979762053984,4.045856627771716,4.988621074642134,5.015654710832709,4.578042768261357,4.3524553863547775,4.2937514034979625,3.470079751604495,3.4946376555062773,2.5045795423679897
cube18_cluster0,2.0762827856396373,3.941903765310973,4.319554003031905,2.4633083816374994,4.170625512330966,1.5434855863792267,1.2164462640572504,0.0,4.717099912025335,4.024930086170009,3.864104587256619,2.8054631391396017,1.8686605928646731,1.9906264004592307,1.9906264004592307,3.667584398408964,4.072480120449948,3.1801343760795024,2.4572133386993253,1.964404475838668,1.964404475838668,3.1007857792462783,2.361561213634598,4.27536351053065,3.377623704807279,2.7819927093605994,2.805419870075953,9.573424876190803,8.882244847989842,7.699610281770276,8.25485301067054,8.765740250760624,7.531300406110944,4.648525812412673,3.777859395379585,3.2117185960867443,3.039051135935456,7.9384444786955735,5.1636934984979375,5.554415231576961,5.117155557109338,4.57131708804276,4.175413459603832,3.5306244834899,4.3147021760519,4.161631991045898,3.8828272716870353,4.3454251711444405,3.9858114540095047,5.264126731813215,5.110642726741247,4.651078213893214,4.255619820033286,4.044681330110808,3.9924374532125126,4.122522560720678,2.88039423601491
cube1_cluster0,2.6557289627165117,1.8083990444050175,1.888337676797316,2.594852544632951,1.918162035939853,3.3383848896666817,4.307636941361227,4.717099912025335,0.0,1.3105955305357755,2.325275163555641,2.7964964316922667,3.423607829931862,5.41145084436859,5.41145084436859,1.1546466833852476,3.0097700920173986,3.182582876494609,3.618168756447183,4.92062968486536,4.92062968486536,1.945577653833367,2.9633559254161668,3.541180781876578,3.8076169461942606,4.186728682821918,5.064913584123508,9.053075279153363,7.754192045053017,6.997004447329596,7.762733820204169,8.167909592640289,6.753408582227416,4.162661628964865,4.404851996503817,4.764932194839673,5.423573324681559,7.106882233873121,4.92280655386023,5.506617202038348,5.4300277878788,5.092399654089814,5.381848878437057,6.568783776673705,6.288286082780019,6.031361651834554,6.224026969846015,6.307700396801553,6.233355026989993,5.315251182088263,5.452472029723551,5.321079469352967,5.626546079891902,6.281701744818329,1.2138538644106638,2.1801576375310763,1.908366682140641
cube1_cluster1,2.0952701988908227,1.712153233813231,2.251912312402411,2.126267694844513,2.24555613185166,2.7899839652653866,3.373734446428072,4.024930086170009,1.3105955305357755,0.0,2.2755097632253003,2.4951173305372762,2.930006531868937,4.822947500087441,4.822947500087441,0.8278003376278142,3.013580803153402,3.011980258519001,3.2750161541640397,4.368935531592074,4.368935531592074,1.728099954990358,2.602634039010737,3.5701962602388164,3.6396380630715965,3.902505975430843,4.764086235160745,8.510920214318357,7.396191522683516,6.595729208921496,7.185788250862252,7.621452970013793,6.415528869059482,4.227215674351327,4.290261851933302,4.521234142569348,5.108811484063654,6.770333696472609,4.823107435076175,5.100065112633136,5.291046110916708,4.965978420026752,5.194736131903168,5.981338355365392,5.886809962021733,5.675029909938662,5.926153336310305,5.918457593258832,5.747972462819134,4.992775696783585,5.330938964278834,5.059088113985715,5.341725444888506,5.89792753632997,0.7800021316436972,1.4404222421570636,1.3689586033930339
