cluster,degree,component_size,train_n,roundtrip_accuracy,live_speed_error
cube1_cluster0,3,46,11,0.8181818181818182,8.524863109510648
cube1_cluster1,3,46,12,0.6666666666666666,13.223851056423275
cube2_cluster0,7,46,105,0.4095238095238095,9.522604485604907
cube3_cluster0,3,46,7,1.0,8.79163137709023
cube3_cluster1,3,46,7,1.0,8.461250821937575
cube8_cluster0,6,46,47,0.425531914893617,10.580866185293806
cube8_cluster1,1,46,5,1.0,12.008623027116013
cube9_cluster0,11,46,353,0.22946175637393768,8.655386914166703
cube10_cluster0,6,46,173,0.32947976878612717,7.6580047768316994
cube15_cluster0,5,46,23,0.6521739130434783,7.247812309286001
cube15_cluster1,2,46,4,0.5,6.385586816877525
cube16_cluster0,8,46,307,0.33876221498371334,7.174325686548259
cube16_cluster1,2,46,3,0.6666666666666666,6.401761089045195
cube17_cluster0,6,46,230,0.3782608695652174,6.7979431503950565
cube17_cluster1,0,1,4,1.0,9.819379512752057
cube18_cluster0,2,46,19,0.7894736842105263,7.217569531611564
cube23_cluster0,5,46,18,0.6666666666666666,6.2687847566289445
cube24_cluster0,10,46,201,0.3880597014925373,5.888417761940812
cube25_cluster0,6,46,134,0.3805970149253731,6.077786047834489
cube25_cluster1,1,2,4,1.0,9.746089522959432
cube26_cluster0,1,2,4,0.0,
cube31_cluster0,5,46,31,0.6451612903225806,5.592221727298279
cube32_cluster0,8,46,191,0.36649214659685864,5.245600678263193
cube33_cluster0,5,46,94,0.39361702127659576,5.3246593819213945
cube33_cluster1,2,46,4,1.0,5.0719207640293575
cube34_cluster0,2,46,4,0.0,
cube41_cluster0,5,46,33,0.6060606060606061,4.937830888732383
cube42_cluster0,8,46,221,0.3076923076923077,4.841690094437565
cube43_cluster0,9,46,136,0.5220588235294118,4.79874344376236
cube44_cluster0,3,46,4,1.0,5.278431474471005
cube46_cluster0,0,1,8,1.0,46.48582383578431
cube46_cluster1,0,1,4,1.0,39.983499394612046
cube47_cluster0,2,3,8,0.5,33.17397456709957
cube47_cluster1,0,1,8,0.875,46.37120171495172
cube47_cluster2,0,1,4,1.0,48.13840162408675
cube48_cluster0,2,3,4,0.75,24.40238636363636
cube50_cluster0,5,46,37,0.5945945945945946,4.761288785424679
cube51_cluster0,8,46,242,0.39669421487603307,4.846471858404492
cube52_cluster0,8,46,159,0.44654088050314467,4.744763514263274
cube53_cluster0,5,46,8,0.5,4.281707336797897
cube56_cluster0,2,3,6,0.5,27.42140276390277
cube59_cluster0,5,46,234,0.3247863247863248,4.723919468377619
cube59_cluster1,3,46,5,1.0,6.129175543142927
cube59_cluster2,3,46,6,0.6666666666666666,5.756748087921646
cube60_cluster0,11,46,1088,0.3235294117647059,5.163010825777966
cube61_cluster0,10,46,650,0.38769230769230767,5.763564862294953
cube61_cluster1,0,1,4,1.0,5.017510534337456
cube61_cluster2,3,46,4,0.5,5.36913537909174
cube62_cluster0,3,46,6,1.0,4.900716433043161
cube62_cluster1,5,46,11,0.8181818181818182,7.369027007329367
cube62_cluster2,3,46,5,0.6,5.200515402106699
cube62_cluster3,3,46,8,0.875,4.901523890908141
cube66_cluster0,4,46,197,0.5532994923857868,5.203976671128595
cube66_cluster1,3,46,5,0.4,5.646100764855346
cube67_cluster0,8,46,835,0.22634730538922157,4.98347855810251
cube68_cluster0,9,46,637,0.25274725274725274,5.391912101835567
cube69_cluster0,7,46,80,0.3125,5.106838865091505
