pitch_type,num_pitchers,total_pitches,avg_consistency_score,std_consistency_score,min_consistency_score,max_consistency_score,avg_entropy,avg_num_clusters,avg_concentration
PO,1,6,16.67,0.0,16.67,16.67,1.792,6.0,16.67
FA,1,64,15.62,0.0,15.62,15.62,2.905,27.0,15.62
SV,4,84,15.47,8.98,11.9,33.33,2.354,14.0,20.68
KC,4,300,14.67,7.63,10.23,28.57,2.979,27.0,17.28
CU,31,1691,13.84,5.19,8.33,33.33,2.737,21.7,15.84
SI,82,4087,13.68,6.8,7.41,42.86,2.628,20.3,16.75
SL,76,3833,13.65,6.23,7.14,37.5,2.716,21.2,16.31
CH,52,2437,13.3,5.7,7.14,33.33,2.667,20.2,16.21
ST,47,2311,13.28,7.13,8.33,44.44,2.701,21.1,16.32
FC,41,2894,13.1,5.7,8.93,33.33,2.815,24.6,15.6
FF,103,8831,12.88,3.76,7.14,25.0,2.932,26.2,14.26
FS,22,1747,12.36,4.9,7.81,28.57,3.004,28.3,13.9
CS,1,36,11.11,0.0,11.11,11.11,2.886,20.0,11.11
