pitcher_id,pitch_a,cluster_a,pitch_b,cluster_b,same_cluster
445276,FC,cube51_cluster0,SI,cube60_cluster0,False
445276,SL,cube16_cluster0,ST,cube16_cluster0,True
445926,CH,cube60_cluster0,FC,cube51_cluster0,False
445926,CH,cube60_cluster0,SI,cube60_cluster0,True
445926,CU,cube9_cluster0,SL,cube16_cluster0,False
445926,FC,cube51_cluster0,SI,cube60_cluster0,False
448179,CH,cube59_cluster0,FC,cube42_cluster0,False
448179,CH,cube59_cluster0,FF,cube60_cluster0,True
448179,CH,cube59_cluster0,SI,cube60_cluster0,True
448179,FC,cube42_cluster0,FF,cube60_cluster0,False
448179,FC,cube42_cluster0,SI,cube60_cluster0,False
448179,FF,cube60_cluster0,SI,cube60_cluster0,True
450203,CH,cube60_cluster0,FC,cube43_cluster0,False
450203,CH,cube60_cluster0,FF,cube60_cluster0,True
450203,CH,cube60_cluster0,SI,cube68_cluster0,True
450203,FC,cube43_cluster0,FF,cube60_cluster0,False
450203,FF,cube60_cluster0,SI,cube68_cluster0,True
453286,CH,cube67_cluster0,FF,cube61_cluster0,False
453286,FC,cube43_cluster0,FF,cube61_cluster0,False
453286,FC,cube43_cluster0,SL,cube32_cluster0,True
455119,FC,cube42_cluster0,FF,cube60_cluster0,False
455119,FC,cube42_cluster0,FS,cube60_cluster0,False
455119,FC,cube42_cluster0,SI,cube60_cluster0,False
455119,FF,cube60_cluster0,FS,cube60_cluster0,True
455119,FF,cube60_cluster0,SI,cube60_cluster0,True
455119,FS,cube60_cluster0,SI,cube60_cluster0,True
458677,FC,cube41_cluster0,FF,cube59_cluster0,False
458677,FC,cube41_cluster0,SL,cube31_cluster0,True
458677,FF,cube59_cluster0,FS,cube66_cluster0,False
471911,CH,cube59_cluster1,FF,cube60_cluster0,True
471911,CH,cube59_cluster1,SI,cube60_cluster0,True
471911,CU,cube16_cluster0,ST,cube16_cluster0,True
471911,FF,cube60_cluster0,SI,cube60_cluster0,True
472610,FF,cube60_cluster0,FS,cube59_cluster0,True
472610,FF,cube60_cluster0,SI,cube60_cluster0,True
472610,FS,cube59_cluster0,SI,cube60_cluster0,True
476594,FF,cube68_cluster0,SI,cube68_cluster0,True
477132,FF,cube51_cluster0,FS,cube59_cluster0,False
477132,FF,cube51_cluster0,SI,cube61_cluster0,False
477132,FF,cube51_cluster0,SL,cube32_cluster0,False
477132,FS,cube59_cluster0,SI,cube61_cluster0,False
489119,CH,cube59_cluster0,FC,cube41_cluster0,False
489119,CH,cube59_cluster0,FF,cube59_cluster0,True
489119,CH,cube59_cluster0,SI,cube60_cluster0,True
489119,CU,cube15_cluster0,ST,cube16_cluster0,True
489119,FC,cube41_cluster0,FF,cube59_cluster0,False
489119,FC,cube41_cluster0,SI,cube60_cluster0,False
489119,FC,cube41_cluster0,SL,cube32_cluster0,False
489119,FF,cube59_cluster0,SI,cube60_cluster0,True
489119,SL,cube32_cluster0,ST,cube16_cluster0,False
489446,FF,cube68_cluster0,FS,cube67_cluster0,False
493603,FF,cube68_cluster0,SI,cube61_cluster0,True
500779,CH,cube67_cluster0,FF,cube60_cluster0,False
500779,CH,cube67_cluster0,SI,cube60_cluster0,True
500779,CU,cube16_cluster0,SV,cube16_cluster0,True
500779,FF,cube60_cluster0,SI,cube60_cluster0,True
502043,CH,cube60_cluster0,FF,cube60_cluster0,True
502043,CH,cube60_cluster0,SI,cube60_cluster0,True
502043,CU,cube9_cluster0,SL,cube16_cluster0,False
502043,CU,cube9_cluster0,ST,cube16_cluster0,False
502043,FF,cube60_cluster0,SI,cube60_cluster0,True
502043,SL,cube16_cluster0,ST,cube16_cluster0,True
502085,CH,cube60_cluster0,FC,cube43_cluster0,False
502085,CH,cube60_cluster0,SI,cube61_cluster0,True
502085,FC,cube43_cluster0,SI,cube61_cluster0,False
502085,KC,cube10_cluster0,SL,cube16_cluster0,False
506433,CH,cube60_cluster0,FC,cube52_cluster0,False
506433,CH,cube60_cluster0,FF,cube61_cluster0,True
506433,CH,cube60_cluster0,FS,cube67_cluster0,True
506433,CH,cube60_cluster0,PO,cube68_cluster0,True
506433,CH,cube60_cluster0,SI,cube61_cluster0,True
506433,CU,cube2_cluster0,KC,cube10_cluster0,False
506433,FC,cube52_cluster0,FF,cube61_cluster0,False
506433,FC,cube52_cluster0,SI,cube61_cluster0,False
506433,FF,cube61_cluster0,FS,cube67_cluster0,False
506433,FF,cube61_cluster0,PO,cube68_cluster0,True
506433,FF,cube61_cluster0,SI,cube61_cluster0,True
506433,FS,cube67_cluster0,PO,cube68_cluster0,False
506433,FS,cube67_cluster0,SI,cube61_cluster0,False
506433,KC,cube10_cluster0,ST,cube17_cluster0,False
506433,PO,cube68_cluster0,SI,cube61_cluster0,True
