pitcher_id,pitch_type,pitch_count,num_clusters,top_cluster,top_cluster_pct,top_3_clusters_pct,top_5_clusters_pct,concentration,entropy,consistency_score,num_clusters_used,cluster_rank1,cluster_rank1_pct,cluster_rank2,cluster_rank2_pct,cluster_rank3,cluster_rank3_pct
434378,CH,21,12,cube60_cluster0,28.57,52.379999999999995,66.66,28.57,2.243240881142677,28.57,12,cube60_cluster0,28.57,cube16_cluster0,14.29,cube62_cluster1,9.52
434378,CU,22,13,cube60_cluster0,18.18,40.91,59.09,18.18,2.4377622536034775,18.18,13,cube60_cluster0,18.18,cube61_cluster0,13.64,cube50_cluster0,9.09
434378,FF,41,21,cube60_cluster0,12.2,31.72,46.36,12.2,2.871143742697271,12.2,21,cube60_cluster0,12.2,cube61_cluster0,9.76,cube62_cluster1,9.76
434378,SL,46,20,cube60_cluster0,19.57,36.97,52.19,19.57,2.7425199126958058,19.57,20,cube60_cluster0,19.57,cube51_cluster0,8.7,cube67_cluster0,8.7
434378,ST,9,6,cube61_cluster0,44.44,66.66,88.88,44.44,1.5810356357966395,44.44,6,cube61_cluster0,44.44,cube62_cluster1,11.11,cube61_cluster2,11.11
455119,FC,18,14,cube16_cluster1,11.11,33.33,50.0,11.11,2.583093119605798,11.11,14,cube16_cluster1,11.11,cube51_cluster0,11.11,cube68_cluster0,11.11
455119,FF,24,18,cube60_cluster0,25.0,37.5,45.84,25.0,2.6734636098714386,25.0,18,cube60_cluster0,25.0,cube67_cluster0,8.33,cube10_cluster0,4.17
455119,FS,18,12,cube59_cluster2,11.11,33.33,55.55,11.11,2.428697811714806,11.11,12,cube59_cluster2,11.11,cube60_cluster0,11.11,cube50_cluster0,11.11
455119,SI,6,6,cube42_cluster0,16.67,50.010000000000005,83.35000000000001,16.67,1.7919178011232335,16.67,6,cube42_cluster0,16.67,cube32_cluster0,16.67,cube50_cluster0,16.67
472610,FF,7,7,cube41_cluster0,14.29,42.87,71.44999999999999,14.29,1.9461938771045295,14.29,7,cube41_cluster0,14.29,cube42_cluster0,14.29,cube69_cluster0,14.29
472610,FS,7,6,cube61_cluster0,28.57,57.15,85.72999999999999,28.57,1.748067149102356,28.57,6,cube61_cluster0,28.57,cube60_cluster0,14.29,cube1_cluster1,14.29
472610,SI,7,6,cube23_cluster0,28.57,57.15,85.72999999999999,28.57,1.748067149102356,28.57,6,cube23_cluster0,28.57,cube43_cluster0,14.29,cube62_cluster3,14.29
472610,ST,49,25,cube60_cluster0,16.33,32.65,44.88999999999999,16.33,2.982029396862753,16.33,25,cube60_cluster0,16.33,cube66_cluster0,8.16,cube51_cluster0,8.16
489446,FF,49,21,cube61_cluster0,14.29,40.82,55.1,14.29,2.765750262676203,14.29,21,cube61_cluster0,14.29,cube59_cluster0,14.29,cube60_cluster0,12.24
489446,FS,77,32,cube60_cluster0,11.69,25.97,36.35,11.69,3.2519845665747087,11.69,32,cube60_cluster0,11.69,cube61_cluster0,7.79,cube25_cluster0,6.49
518397,SI,12,8,cube60_cluster0,25.0,58.34,75.0,25.0,1.9790097769533075,25.0,8,cube60_cluster0,25.0,cube50_cluster0,16.67,cube67_cluster0,16.67
518397,SL,36,22,cube60_cluster0,16.67,33.33,44.45,16.67,2.910400440972561,16.67,22,cube60_cluster0,16.67,cube61_cluster0,8.33,cube59_cluster0,8.33
518585,FF,8,7,cube61_cluster0,25.0,50.0,75.0,25.0,1.9061547465398496,25.0,7,cube61_cluster0,25.0,cube25_cluster0,12.5,cube60_cluster0,12.5
518585,FS,64,32,cube17_cluster0,7.81,23.43,34.37,7.81,3.2759720025753953,7.81,32,cube17_cluster0,7.81,cube3_cluster1,7.81,cube16_cluster0,7.81
518585,SI,24,14,cube61_cluster0,20.83,41.66,58.31999999999999,20.83,2.4747424059496037,20.83,14,cube61_cluster0,20.83,cube68_cluster0,12.5,cube50_cluster0,8.33
518585,SL,24,21,cube67_cluster0,12.5,25.0,33.34,12.5,2.984294706488635,12.5,21,cube67_cluster0,12.5,cube60_cluster0,8.33,cube10_cluster0,4.17
519151,CH,16,12,cube61_cluster0,18.75,43.75,56.25,18.75,2.36060911398924,18.75,12,cube61_cluster0,18.75,cube67_cluster0,18.75,cube8_cluster1,6.25
519151,CU,56,31,cube60_cluster0,10.71,26.78,41.06,10.71,3.2031990450124717,10.71,31,cube60_cluster0,10.71,cube61_cluster0,8.93,cube25_cluster0,7.14
519151,FF,96,34,cube60_cluster0,14.58,27.080000000000002,37.5,14.58,3.267037749980848,14.58,34,cube60_cluster0,14.58,cube67_cluster0,7.29,cube61_cluster0,5.21
519151,SL,96,34,cube60_cluster0,11.46,29.17,40.63,11.46,3.215285684945766,11.46,34,cube60_cluster0,11.46,cube61_cluster0,10.42,cube50_cluster0,7.29
542888,FC,30,20,cube61_cluster2,10.0,23.340000000000003,36.68000000000001,10.0,2.9212324474603575,10.0,20,cube61_cluster2,10.0,cube53_cluster0,6.67,cube62_cluster2,6.67
542888,FF,54,24,cube60_cluster0,12.96,27.78,40.75,12.96,2.994675220603609,12.96,24,cube60_cluster0,12.96,cube67_cluster0,7.41,cube42_cluster0,7.41
542888,SI,42,21,cube60_cluster0,14.29,38.089999999999996,52.37,14.29,2.8008153389254953,14.29,21,cube60_cluster0,14.29,cube50_cluster0,11.9,cube61_cluster0,11.9
542888,ST,36,21,cube60_cluster0,16.67,30.56,41.68,16.67,2.8865562268030582,16.67,21,cube60_cluster0,16.67,cube51_cluster0,8.33,cube50_cluster0,5.56
547973,FF,72,30,cube51_cluster0,15.28,34.72,49.989999999999995,15.28,3.0335099971030655,15.28,30,cube51_cluster0,15.28,cube61_cluster0,9.72,cube60_cluster0,9.72
547973,SL,8,5,cube60_cluster0,37.5,75.0,100.0,37.5,1.4941751382893085,37.5,5,cube60_cluster0,37.5,cube9_cluster0,25.0,cube51_cluster0,12.5
571927,CH,56,29,cube60_cluster0,14.29,28.58,39.3,14.29,3.1530882938600304,14.29,29,cube60_cluster0,14.29,cube67_cluster0,8.93,cube61_cluster0,5.36
