pitcher_id,total_pitches,num_pitch_types,avg_consistency_score,min_consistency_score,max_consistency_score,std_consistency_score,avg_entropy,avg_num_clusters,avg_concentration
656234,28,2,25.0,23.81,28.57,2.38,2.204,11.5,26.19
689254,24,2,25.0,25.0,25.0,0.0,2.036,9.0,25.0
643511,36,2,22.22,21.43,25.0,1.78,2.284,12.5,23.21
668933,18,1,22.22,22.22,22.22,0.0,2.429,13.0,22.22
668674,48,3,20.83,16.67,33.33,6.93,2.072,9.7,24.07
434378,139,5,20.15,12.2,44.44,11.22,2.375,14.4,24.59
678495,60,2,20.0,17.5,25.0,3.75,2.477,15.0,21.25
669062,76,3,19.74,16.67,25.0,3.46,2.484,15.0,20.37
621053,66,5,19.7,16.67,33.33,6.48,2.102,9.6,21.11
642048,52,4,19.23,12.5,25.0,5.41,1.886,8.5,21.88
518397,48,2,18.75,16.67,25.0,4.16,2.445,15.0,20.84
657585,64,3,18.75,12.5,20.83,3.54,2.488,14.7,17.36
663423,64,5,18.75,12.5,25.0,5.27,2.171,10.6,20.83
472610,70,4,18.57,14.29,28.57,6.67,2.106,11.0,21.94
673513,152,4,18.42,12.5,25.0,5.1,2.62,19.8,20.83
663542,60,3,18.34,16.67,33.33,7.85,2.275,13.7,22.22
608718,66,3,18.18,11.11,33.33,9.99,2.45,14.3,19.26
668716,161,3,18.02,14.29,28.57,6.04,2.768,24.3,20.32
685801,78,4,17.95,12.5,33.33,7.83,2.174,11.8,20.39
687377,56,4,17.86,14.29,28.57,7.14,2.189,10.8,21.43
547973,80,2,17.5,15.28,37.5,11.11,2.264,17.5,26.39
622554,120,4,17.5,11.11,20.83,3.82,2.441,15.2,17.15
666171,40,3,17.5,12.5,25.0,5.14,2.136,10.3,19.17
455119,66,4,16.67,11.11,25.0,5.68,2.369,12.5,15.97
571946,84,3,16.67,14.29,19.05,2.24,2.527,16.0,15.88
592426,66,3,16.67,16.67,16.67,0.0,2.539,14.7,16.67
596001,60,3,16.67,12.5,25.0,5.4,2.286,12.3,17.5
657514,96,4,16.67,12.5,18.75,2.71,2.506,14.8,17.19
663574,72,3,16.67,14.29,33.33,8.47,2.288,13.7,21.43
676684,126,3,16.66,14.29,42.86,13.22,2.486,18.7,24.18
695243,84,2,16.66,15.58,28.57,6.5,2.456,19.0,22.07
678020,140,3,16.43,14.29,28.57,5.87,2.471,18.7,20.95
676092,171,3,16.38,14.29,17.11,1.2,2.872,23.7,15.94
660825,112,3,16.07,13.46,20.83,3.02,2.935,23.0,16.99
621363,119,2,15.97,14.29,16.67,1.19,3.045,27.5,15.48
678606,126,4,15.88,14.29,19.05,1.95,2.511,16.5,15.78
642152,120,5,15.83,12.5,19.44,2.64,2.586,15.2,15.35
666277,128,4,15.62,12.5,20.83,3.72,2.738,19.0,16.14
691594,64,1,15.62,15.62,15.62,0.0,2.905,27.0,15.62
605447,154,2,15.58,10.99,22.22,5.61,3.096,30.0,16.61
685126,175,4,15.43,12.24,19.05,2.48,2.758,22.0,15.29
668909,300,4,15.33,11.96,17.44,2.18,2.887,26.0,14.22
662253,72,3,15.28,13.89,25.0,4.88,2.306,14.3,18.17
679885,105,3,15.24,8.57,23.81,6.22,2.82,21.0,16.24
671922,73,2,15.07,11.11,16.36,2.62,2.793,19.5,13.73
642100,40,2,15.0,12.5,16.67,2.09,2.701,16.0,14.59
672282,60,3,15.0,13.89,16.67,1.31,2.48,13.3,15.74
683409,140,3,15.0,8.57,18.18,3.95,3.054,26.0,13.68
702352,120,4,15.0,10.94,25.0,5.03,2.472,15.0,17.84
571927,424,4,14.86,14.29,18.75,1.77,2.93,26.8,15.81
680767,101,3,14.85,9.09,21.05,4.92,2.856,22.3,15.49
623474,54,2,14.81,11.9,25.0,6.55,2.63,17.5,18.45
688297,88,3,14.77,9.38,18.75,4.15,2.608,16.7,15.21
669711,136,5,14.71,12.5,18.75,2.29,2.522,15.4,14.61
641302,498,5,14.66,11.11,16.09,1.96,3.132,31.6,13.81
621345,152,3,14.47,12.5,16.67,1.75,2.836,22.0,14.31
606303,90,4,14.45,12.5,16.67,1.81,2.293,13.2,15.63
622379,146,4,14.39,10.0,20.0,4.21,2.519,17.2,16.07
607481,160,4,14.38,12.5,18.75,2.71,2.828,20.5,15.11
614179,21,1,14.29,14.29,14.29,0.0,2.755,17.0,14.29
640462,147,3,14.29,12.7,28.57,7.44,2.855,24.3,18.04
674285,63,3,14.29,7.14,28.57,8.91,2.427,14.0,16.67
677161,176,5,14.21,12.5,25.0,5.65,2.499,17.0,18.33
681867,176,4,14.21,10.42,25.0,5.58,2.752,22.5,16.04
668820,240,4,14.17,8.33,16.35,2.91,2.973,24.8,12.77
682120,92,4,14.13,10.0,25.0,6.02,2.575,15.5,15.6
683769,85,2,14.12,13.33,14.29,0.48,2.715,20.5,13.81
640451,114,3,14.04,9.09,33.33,10.12,2.646,19.3,19.7
661403,157,3,14.01,13.04,33.33,9.5,2.518,21.3,19.9
672335,222,5,13.97,10.42,33.33,8.46,2.772,23.0,16.77
592332,696,3,13.94,11.0,16.18,2.18,3.262,38.3,13.97
702674,280,4,13.93,10.91,24.0,5.22,2.999,27.2,15.22
676395,72,3,13.89,11.9,16.67,2.25,2.43,14.0,15.08
682842,72,2,13.89,13.33,14.29,0.48,2.869,21.5,13.81
669060,448,5,13.84,11.9,15.24,1.12,3.126,31.6,13.83
666619,80,2,13.75,10.94,25.0,7.03,2.766,21.5,17.97
667755,360,5,13.61,8.93,28.57,6.99,2.93,26.0,15.65
542888,162,4,13.58,10.0,16.67,2.41,2.901,21.5,13.48
600917,126,5,13.49,10.2,19.05,2.8,2.502,15.6,14.42
593974,104,3,13.46,12.5,14.29,0.84,2.629,17.3,13.1
621381,112,5,13.4,11.43,14.29,1.14,2.61,16.2,13.72
608331,784,7,13.39,11.54,25.0,4.32,3.014,31.7,15.27
694297,637,5,13.34,11.18,16.43,2.06,3.193,35.6,13.71
573124,90,2,13.33,8.33,23.33,7.5,2.981,26.0,15.83
687863,120,2,13.33,10.0,15.0,2.5,3.109,28.0,12.5
642397,114,2,13.16,11.9,16.67,2.39,3.024,26.5,14.29
684320,152,4,13.16,10.94,15.62,1.89,2.826,20.5,13.52
606930,184,2,13.04,11.84,18.75,3.46,2.877,27.5,15.29
628317,238,5,13.03,11.69,21.43,3.51,2.766,21.2,14.76
608371,77,3,12.99,12.24,14.29,0.97,2.473,15.3,13.61
519151,264,4,12.88,10.71,18.75,3.17,3.012,27.8,13.88
607200,520,4,12.88,11.25,14.37,1.12,3.168,34.5,12.8
676974,736,5,12.77,10.42,15.62,1.98,3.22,35.8,12.8
489446,126,2,12.7,11.69,14.29,1.3,3.009,26.5,12.99
681190,620,6,12.58,10.0,18.75,3.7,3.122,32.8,13.77
607625,510,8,12.55,9.26,22.22,4.01,2.992,25.9,13.34
518585,120,4,12.5,7.81,25.0,6.75,2.66,18.5,16.54
608717,120,4,12.5,10.0,16.67,2.9,2.591,17.2,13.87
656731,656,5,12.5,10.0,25.0,5.31,3.007,29.4,14.59
666808,96,2,12.5,11.76,14.29,1.26,2.952,24.0,13.02
678215,224,4,12.5,10.23,37.5,11.2,2.724,23.2,18.28
674370,522,5,12.45,11.11,20.0,3.1,2.773,25.6,15.51
623149,105,2,12.38,11.43,14.29,1.43,3.005,25.0,12.86
607259,552,6,12.32,11.36,16.67,1.82,3.129,31.7,12.9
