batter,breaks,coordinates,description,endSpeed,extension,game_pk,pitcher,plateTime,result,startSpeed,strikeZoneBottom,strikeZoneTop,type,typeConfidence,zone
641313,"{'breakAngle': 34.8, 'breakLength': 3.6, 'breakY': 24.0, 'breakVertical': -14.2, 'breakVerticalInduced': 17.8, 'breakHorizontal': 9.7}","{'aY': 32.32338752217913, 'aZ': -12.662382449956043, 'pfxX': -6.196296696062856, 'pfxZ': 10.638192043791452, 'pX': 0.31928649317726177, 'pZ': 2.5828784845152533, 'vX0': 6.150648024581206, 'vY0': -135.2615881380914, 'vZ0': -7.040869794961063, 'x': 104.83, 'y': 169.04, 'x0': -1.1903343901705388, 'y0': 50.00037548746312, 'z0': 6.126292973733543, 'aX': -11.362478920599832}","In play, no out",84.3,,718760,664353,0.40653321790328345,Single,93.1,1.55,3.4,Four-Seam Fastball,2.0,6
673357,"{'breakAngle': 39.6, 'breakLength': 4.8, 'breakY': 24.0, 'breakVertical': -15.6, 'breakVerticalInduced': 15.7, 'breakHorizontal': 12.6}","{'aY': 33.00471014389112, 'aZ': -14.476902750837333, 'pfxX': -7.622435860367293, 'pfxZ': 9.452174697525123, 'pX': -0.766190362231025, 'pZ': 2.361327793908282, 'vX0': 4.849692336897357, 'vY0': -136.67408836935837, 'vZ0': -6.86066257817341, 'x': 146.21, 'y': 175.02, 'x0': -1.5826890387881627, 'y0': 50.00434801434248, 'z0': 5.9178406759437445, 'aX': -14.274036013736584}",Called Strike,85.2,,718760,664353,0.40233122459674986,Flyout,94.0,1.81807361466392,3.66282201004304,Sinker,2.0,7
673357,"{'breakAngle': 15.6, 'breakLength': 9.6, 'breakY': 24.0, 'breakVertical': -38.6, 'breakVerticalInduced': 2.3, 'breakHorizontal': -11.2}","{'aY': 25.36223499093144, 'aZ': -29.446094499079717, 'pfxX': 5.479384639058491, 'pfxZ': 1.90392644718679, 'pX': 0.8775607321633384, 'pZ': 0.6313620368043418, 'vX0': 4.751396651758909, 'vY0': -119.53629101259341, 'vZ0': -5.457440895720874, 'x': 83.55, 'y': 221.73, 'x0': -1.8554083988489, 'y0': 50.00095308037408, 'z0': 5.621885940351358, 'aX': 7.842964099242943}",Swinging Strike (Blocked),75.4,,718760,664353,0.46010961620685364,Flyout,82.2,1.82,3.73,Sweeper,0.9,14
673357,"{'breakAngle': 15.6, 'breakLength': 8.4, 'breakY': 24.0, 'breakVertical': -36.4, 'breakVerticalInduced': 4.4, 'breakHorizontal': -10.3, 'spinRate': 2742, 'spinDirection': 58}","{'aY': 25.042325946574078, 'aZ': -27.78439366390766, 'pfxX': 4.490359877979069, 'pfxZ': 3.063163455721752, 'pX': 2.6334469537160112, 'pZ': 0.9979249718706196, 'vX0': 8.344579183786218, 'vY0': -119.57324947029466, 'vZ0': -5.2264658006667615, 'x': 16.62, 'y': 211.84, 'x0': -1.4979829983318889, 'y0': 50.00570550917641, 'z0': 5.732928956158406, 'aX': 6.4424628002995705}",Ball,75.5,5.9607913095319836,718760,664353,0.4596958985650694,Flyout,82.4,1.82,3.73,Sweeper,0.89,14
673357,"{'breakAngle': 12.0, 'breakLength': 12.0, 'breakY': 24.0, 'breakVertical': -51.8, 'breakVerticalInduced': -9.8, 'breakHorizontal': -10.8, 'spinRate': 2744, 'spinDirection': 41}","{'aY': 25.27278580807915, 'aZ': -39.75504607199172, 'pfxX': 5.26627164869414, 'pfxZ': -5.450783783307637, 'pX': 1.517118702281247, 'pZ': 1.902553815116955, 'vX0': 4.81045737669778, 'vY0': -118.01827421016661, 'vZ0': -1.1678799637371533, 'x': 59.17, 'y': 187.41, 'x0': -1.2416310865341529, 'y0': 50.000292857700394, 'z0': 6.109431227307431, 'aX': 7.327926967110743}",Foul,74.3,5.871447765867427,718760,664353,0.4665058184487414,Flyout,81.1,1.82,3.73,Curveball,0.87,14
673357,"{'breakAngle': 44.4, 'breakLength': 3.6, 'breakY': 24.0, 'breakVertical': -11.2, 'breakVerticalInduced': 19.7, 'breakHorizontal': 10.8, 'spinRate': 2276, 'spinDirection': 208}","{'aY': 33.77050791474389, 'aZ': -11.13268819977934, 'pfxX': -6.516886047054883, 'pfxZ': 11.075389602793418, 'pX': -0.40110121585647635, 'pZ': 4.664546071953777, 'vX0': 3.903471831464365, 'vY0': -137.74407064338516, 'vZ0': -2.43897784095491, 'x': 132.29, 'y': 112.84, 'x0': -0.9980994141013388, 'y0': 50.00687067012407, 'z0': 6.32545405023386, 'aX': -12.386551027343971}",Ball,85.5,5.788507324161083,718760,664353,0.3993403075270652,Flyout,94.7,1.78958659160372,3.4663986476869,Four-Seam Fastball,2.0,11
673357,"{'breakAngle': 16.8, 'breakLength': 8.4, 'breakY': 24.0, 'breakVertical': -35.9, 'breakVerticalInduced': 4.7, 'breakHorizontal': -10.8, 'spinRate': 2695, 'spinDirection': 61}","{'aY': 23.39620736310633, 'aZ': -28.120734907969844, 'pfxX': 5.276255589901403, 'pfxZ': 2.8046131969303447, 'pX': 1.1605678744350334, 'pZ': 2.1318542128003126, 'vX0': 4.959437004229787, 'vY0': -119.53598441046799, 'vZ0': -2.8236624583475427, 'x': 72.76, 'y': 181.22, 'x0': -1.6277344770164928, 'y0': 50.002708510837344, 'z0': 5.8574232478249995, 'aX': 7.621485816734582}","In play, out(s)",75.6,5.873576592962509,718760,664353,0.4585103302947853,Flyout,82.1,1.82,3.73,Sweeper,0.9,14
643217,"{'breakAngle': 32.4, 'breakLength': 7.2, 'breakY': 24.0, 'breakVertical': -26.9, 'breakVerticalInduced': 10.0, 'breakHorizontal': 16.9, 'spinRate': 2096, 'spinDirection': 242}","{'aY': 26.307127059416423, 'aZ': -22.20104699799218, 'pfxX': -10.285463023758881, 'pfxZ': 6.271600859663225, 'pX': 0.055014886860051675, 'pZ': 1.2095380849693338, 'vX0': 6.978935275594789, 'vY0': -125.53112008274162, 'vZ0': -6.6244377703046915, 'x': 114.9, 'y': 206.12, 'x0': -1.4301562173211886, 'y0': 50.00163275490852, 'z0': 5.699851517329613, 'aX': -16.352088696496203}",Swinging Strike,79.1,5.933262226011795,718760,664353,0.4369522398726011,Strikeout,86.4,1.49,3.26,Changeup,2.0,14
643217,"{'breakAngle': 38.4, 'breakLength': 3.6, 'breakY': 24.0, 'breakVertical': -11.2, 'breakVerticalInduced': 19.4, 'breakHorizontal': 8.9, 'spinRate': 2349, 'spinDirection': 208}","{'aY': 30.794455915632714, 'aZ': -10.085086767411422, 'pfxX': -5.491099099481624, 'pfxZ': 11.511543290244486, 'pX': 0.3306361342212211, 'pZ': 2.7339232867032357, 'vX0': 5.307519942086715, 'vY0': -137.69830229223265, 'vZ0': -7.415240779564619, 'x': 104.4, 'y': 164.96, 'x0': -0.9091225505360159, 'y0': 50.004038176975094, 'z0': 6.145538343691322, 'aX': -10.537670321110763}",Foul,86.5,5.82374793106491,718760,664353,0.3979030462561588,Strikeout,94.7,1.49,3.26,Four-Seam Fastball,2.0,6
643217,"{'breakAngle': 37.2, 'breakLength': 3.6, 'breakY': 24.0, 'breakVertical': -13.9, 'breakVerticalInduced': 16.4, 'breakHorizontal': 10.6, 'spinRate': 2231, 'spinDirection': 210}","{'aY': 32.971227188025296, 'aZ': -14.122650993869202, 'pfxX': -6.270962075378385, 'pfxZ': 9.38463030746297, 'pX': -0.6585414381384819, 'pZ': 4.274615885136489, 'vX0': 3.4127350872709794, 'vY0': -138.32677766000853, 'vZ0': -3.062324255356619, 'x': 142.1, 'y': 123.37, 'x0': -1.0983477427642097, 'y0': 50.00482249144503, 'z0': 6.352238014425081, 'aX': -12.06439897570081}",Ball,86.2,5.680635989130047,718760,664353,0.3970951988669995,Strikeout,95.0,1.58996723511031,3.2695051653632,Four-Seam Fastball,2.0,11
643217,"{'breakAngle': 10.8, 'breakLength': 12.0, 'breakY': 24.0, 'breakVertical': -52.6, 'breakVerticalInduced': -10.9, 'breakHorizontal': -10.4, 'spinRate': 2773, 'spinDirection': 34}","{'aY': 25.46584627206393, 'aZ': -39.838521818741256, 'pfxX': 5.041125132203293, 'pfxZ': -5.454199682671325, 'pX': 1.4870622235738562, 'pZ': 0.22219511474890855, 'vX0': 4.849712217857755, 'vY0': -118.53986671284775, 'vZ0': -5.04510004802804, 'x': 60.32, 'y': 232.78, 'x0': -1.250562243207006, 'y0': 50.00579285773444, 'z0': 6.0680318453821895, 'aX': 7.079053528942048}",Ball In Dirt,75.1,5.8623097167459095,718760,664353,0.46443879654141185,Strikeout,81.5,1.53286696460979,3.2413399642089,Curveball,2.0,14
